,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,연 평균
Seocho_Gangnamdaero,63.44602272727273,64.27653213751869,62.99041095890411,61.66142857142857,48.61904761904762,40.101010101010104,24.293628808864266,25.64179104477612,24.605714285714285,34.37669376693767,63.81408450704225,50.22857142857143,47.00457799642398
Seocho_Sinbanporo,58.47375690607735,54.34086629001883,61.75207986688852,63.61262553802008,43.33424283765348,38.72052401746725,21.30115273775216,21.055858310626704,21.696402877697842,30.697674418604652,55.747191011235955,41.34059945504087,42.6727478555903
Seodaemoon_Segeomjeongro,64.16822429906541,57.288059701492536,51.06940509915014,53.9721059972106,47.078620689655175,39.03351955307262,22.32837837837838,20.998648648648647,21.3125,26.755555555555556,51.32621359223301,42.8303934871099,41.513468750131
Seongbuk_Donamdong,62.62618083670715,66.03288490284007,62.77762619372442,62.41348973607038,52.001479289940825,41.902542372881356,26.461752433936024,25.113128491620113,23.801762114537446,33.58686730506156,60.91860465116279,47.92934782608695,47.13047217954742
Seongbuk_Samyangro2gil,50.33052039381153,55.04367469879518,51.78758620689655,56.89078014184397,47.825641025641026,38.273792093704245,26.620790629575403,25.001381215469614,23.024673439767778,28.191155492154067,50.31786216596343,43.16531165311653,41.372764096394945
Seongdong_Ddukseomro,52.9986301369863,57.39090909090909,55.72598870056497,60.83875968992248,45.126740947075206,41.104615384615386,24.3061797752809,23.711511789181692,21.41654571843251,29.40599455040872,50.26086956521739,44.994542974079124,42.27344069355615
Seongdong_Ganbyeonbukro,54.05135135135135,60.7984962406015,60.96143250688705,61.18544935805991,52.089385474860336,44.87215909090909,26.751014884979703,23.9885877318117,23.231441048034934,34.014986376021795,59.828054298642535,48.29634641407307,45.83905873135276
Songpagu_Baekjegobunro,56.65426997245179,57.77355623100304,51.754507628294036,57.612708018154315,44.35269709543569,37.11063829787234,23.887228260869566,21.980821917808218,19.45100864553314,29.280245022970902,65.23652694610779,48.58526603001364,42.8066228388762
Yangcheon_Chungang,47.00674763832659,48.558383233532936,48.54939106901218,44.114525139664806,37.70230040595399,34.3268156424581,25.220568335588634,23.335597826086957,19.03862660944206,26.307171853856563,50.148251748251745,45.086486486486486,37.449572165721754
Yeongdengpo_Dangsan,56.93605442176871,60.43348281016443,59.16417910447761,58.4002808988764,53.00408163265306,47.66056338028169,29.93661971830986,31.184979137691236,30.732758620689655,41.22085048010974,53.53,47.47154471544715,47.47294957670581
Yeongdeungpo_Yeongjungro,65.1044776119403,65.39577039274924,71.71853856562923,65.60589060308556,52.73806275579809,54.71270718232044,35.038805970149255,27.252732240437158,25.426666666666666,34.52233676975945,51.04329608938548,39.402702702702705,48.996832295885305
Yongsan_Hangandaero,58.176788124156545,63.037425149700596,64.85055865921788,62.720338983050844,57.57746478873239,53.08274894810659,36.09699453551912,34.583673469387755,30.809315866084425,39.72207084468665,64.13390313390313,48.12043301759134,51.07597629334478
Yongsan_Hannamdaero,48.01106500691563,47.14309764309764,59.11670480549199,48.083213773314206,36.304993252361676,31.864525139664803,22.712912087912088,18.58288043478261,14.027104136947218,21.228070175438596,41.883916083916084,35.324287652645864,35.356897516040696
